,Unnamed: 0,file,max_detection_conf,detections
67,286,9830fcc0-21bc-11ea-a13a-137349068a90.jpg,0.998,"[{'category': '1', 'conf': 0.998, 'bbox': [0.266, 0.015, 0.734, 0.973]}, {'category': '1', 'conf': 0.994, 'bbox': [0.001, 0.632, 0.151, 0.358]}, {'category': '1', 'conf': 0.994, 'bbox': [0.452, 0.501, 0.535, 0.484]}, {'category': '1', 'conf': 0.973, 'bbox': [0.338, 0.327, 0.634, 0.635]}, {'category': '1', 'conf': 0.958, 'bbox': [0.134, 0.877, 0.279, 0.105]}, {'category': '1', 'conf': 0.411, 'bbox': [0.013, 0.84, 0.122, 0.14]}, {'category': '1', 'conf': 0.151, 'bbox': [0.005, 0.779, 0.115, 0.196]}]"
68,287,92803b60-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.37, 0.795, 0.272, 0.19]}]"
70,293,9711a966-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.21, 0.411, 0.366, 0.521]}, {'category': '1', 'conf': 0.999, 'bbox': [0.739, 0.252, 0.221, 0.299]}]"
71,294,9135b802-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.098, 0.536, 0.371, 0.436]}]"
72,295,91371760-21bc-11ea-a13a-137349068a90.jpg,0.997,"[{'category': '1', 'conf': 0.997, 'bbox': [0.141, 0.695, 0.376, 0.289]}, {'category': '1', 'conf': 0.992, 'bbox': [0.462, 0.745, 0.154, 0.216]}, {'category': '1', 'conf': 0.193, 'bbox': [0.128, 0.601, 0.049, 0.032]}]"
73,297,8e941e04-21bc-11ea-a13a-137349068a90.jpg,0.984,"[{'category': '1', 'conf': 0.984, 'bbox': [0.701, 0.213, 0.186, 0.224]}, {'category': '1', 'conf': 0.972, 'bbox': [0.044, 0.011, 0.302, 0.967]}, {'category': '1', 'conf': 0.605, 'bbox': [0.039, 0.028, 0.897, 0.943]}, {'category': '1', 'conf': 0.189, 'bbox': [0.341, 0.287, 0.148, 0.179]}]"
74,304,90f803f4-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.012, 0.014, 0.981, 0.969]}, {'category': '1', 'conf': 0.813, 'bbox': [0.152, 0.837, 0.407, 0.148]}, {'category': '1', 'conf': 0.785, 'bbox': [0.001, 0.797, 0.164, 0.187]}, {'category': '1', 'conf': 0.677, 'bbox': [0.005, 0.875, 0.16, 0.114]}, {'category': '1', 'conf': 0.584, 'bbox': [0.187, 0.512, 0.402, 0.47]}, {'category': '1', 'conf': 0.553, 'bbox': [0, 0.79, 0.067, 0.101]}, {'category': '1', 'conf': 0.546, 'bbox': [0.148, 0.308, 0.825, 0.678]}, {'category': '1', 'conf': 0.208, 'bbox': [0.313, 0.521, 0.303, 0.434]}, {'category': '1', 'conf': 0.165, 'bbox': [0.002, 0.792, 0.076, 0.174]}, {'category': '1', 'conf': 0.16, 'bbox': [0.002, 0.872, 0.093, 0.114]}, {'category': '1', 'conf': 0.125, 'bbox': [0.038, 0.437, 0.769, 0.546]}]"
77,316,919ed620-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0, 0.014, 0.612, 0.835]}, {'category': '1', 'conf': 0.95, 'bbox': [0.001, 0.62, 0.08, 0.233]}]"
78,321,8ad05c6a-21bc-11ea-a13a-137349068a90.jpg,0.995,"[{'category': '1', 'conf': 0.995, 'bbox': [0.42, 0.806, 0.091, 0.138]}, {'category': '1', 'conf': 0.995, 'bbox': [0.539, 0.794, 0.088, 0.168]}, {'category': '1', 'conf': 0.988, 'bbox': [0.807, 0.82, 0.192, 0.163]}, {'category': '1', 'conf': 0.98, 'bbox': [0.864, 0.693, 0.136, 0.171]}, {'category': '1', 'conf': 0.891, 'bbox': [0, 0.888, 0.048, 0.102]}, {'category': '1', 'conf': 0.134, 'bbox': [0.532, 0.797, 0.066, 0.147]}, {'category': '1', 'conf': 0.123, 'bbox': [0.529, 0.803, 0.045, 0.137]}, {'category': '1', 'conf': 0.108, 'bbox': [0.422, 0.81, 0.051, 0.134]}]"
85,376,89ea43a6-21bc-11ea-a13a-137349068a90.jpg,0.987,"[{'category': '1', 'conf': 0.987, 'bbox': [0.832, 0.637, 0.168, 0.109]}, {'category': '1', 'conf': 0.138, 'bbox': [0.29, 0.413, 0.037, 0.039]}]"
86,381,8752f020-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.296, 0.017, 0.704, 0.958]}, {'category': '1', 'conf': 0.999, 'bbox': [0.002, 0.264, 0.29, 0.491]}]"
90,399,8da0204c-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.232, 0.059, 0.766, 0.931]}, {'category': '1', 'conf': 0.969, 'bbox': [0.001, 0.752, 0.191, 0.233]}, {'category': '1', 'conf': 0.699, 'bbox': [0.027, 0.929, 0.171, 0.056]}, {'category': '1', 'conf': 0.16, 'bbox': [0.001, 0.754, 0.079, 0.222]}]"
92,412,98354460-21bc-11ea-a13a-137349068a90.jpg,0.995,"[{'category': '1', 'conf': 0.995, 'bbox': [0.792, 0.888, 0.086, 0.083]}, {'category': '1', 'conf': 0.801, 'bbox': [0.647, 0.523, 0.06, 0.051]}]"
96,427,8b3d9712-21bc-11ea-a13a-137349068a90.jpg,0.983,"[{'category': '1', 'conf': 0.983, 'bbox': [0.001, 0.905, 0.101, 0.081]}]"
97,433,95542dce-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0, 0.303, 0.257, 0.339]}, {'category': '1', 'conf': 0.998, 'bbox': [0.868, 0.323, 0.131, 0.377]}, {'category': '1', 'conf': 0.995, 'bbox': [0.557, 0.416, 0.092, 0.168]}, {'category': '1', 'conf': 0.981, 'bbox': [0.507, 0.414, 0.084, 0.165]}, {'category': '1', 'conf': 0.979, 'bbox': [0.698, 0.407, 0.143, 0.202]}, {'category': '1', 'conf': 0.953, 'bbox': [0.792, 0.371, 0.195, 0.29]}, {'category': '1', 'conf': 0.434, 'bbox': [0.715, 0.427, 0.089, 0.168]}, {'category': '1', 'conf': 0.344, 'bbox': [0.726, 0.403, 0.156, 0.212]}, {'category': '1', 'conf': 0.13, 'bbox': [0.904, 0.326, 0.094, 0.301]}, {'category': '1', 'conf': 0.112, 'bbox': [0.933, 0.318, 0.067, 0.118]}]"
98,435,97651e2a-21bc-11ea-a13a-137349068a90.jpg,0.996,"[{'category': '1', 'conf': 0.996, 'bbox': [0.006, 0.038, 0.967, 0.951]}, {'category': '1', 'conf': 0.994, 'bbox': [0.085, 0.505, 0.909, 0.483]}, {'category': '1', 'conf': 0.429, 'bbox': [0.333, 0.571, 0.227, 0.243]}, {'category': '1', 'conf': 0.313, 'bbox': [0, 0.014, 0.605, 0.986]}, {'category': '1', 'conf': 0.214, 'bbox': [0, 0.028, 0.376, 0.972]}]"
99,438,9799db1a-21bc-11ea-a13a-137349068a90.jpg,0.992,"[{'category': '1', 'conf': 0.992, 'bbox': [0.474, 0.56, 0.411, 0.425]}, {'category': '1', 'conf': 0.981, 'bbox': [0.05, 0.708, 0.441, 0.276]}, {'category': '1', 'conf': 0.961, 'bbox': [0, 0.266, 0.154, 0.711]}, {'category': '1', 'conf': 0.72, 'bbox': [0.003, 0.633, 0.152, 0.34]}, {'category': '1', 'conf': 0.663, 'bbox': [0.521, 0.804, 0.229, 0.18]}, {'category': '1', 'conf': 0.601, 'bbox': [0.466, 0.729, 0.384, 0.244]}, {'category': '1', 'conf': 0.235, 'bbox': [0.36, 0.634, 0.46, 0.332]}, {'category': '1', 'conf': 0.145, 'bbox': [0.002, 0.244, 0.087, 0.734]}, {'category': '1', 'conf': 0.144, 'bbox': [0.12, 0.567, 0.636, 0.398]}, {'category': '1', 'conf': 0.122, 'bbox': [0.0, 0.265, 0.067, 0.508]}]"
100,442,9252c806-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.243, 0.368, 0.069, 0.209]}]"
102,455,978dd9e6-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.269, 0.022, 0.465, 0.844]}]"
103,457,941c9ba8-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.045, 0.428, 0.181, 0.279]}, {'category': '1', 'conf': 0.969, 'bbox': [0, 0.413, 0.064, 0.152]}]"
106,468,94f49896-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.201, 0.327, 0.488, 0.664]}, {'category': '1', 'conf': 0.997, 'bbox': [0.001, 0.61, 0.245, 0.372]}, {'category': '1', 'conf': 0.994, 'bbox': [0.739, 0.348, 0.258, 0.534]}, {'category': '1', 'conf': 0.899, 'bbox': [0.734, 0.485, 0.152, 0.285]}, {'category': '1', 'conf': 0.843, 'bbox': [0.729, 0.602, 0.058, 0.159]}, {'category': '1', 'conf': 0.27, 'bbox': [0.73, 0.589, 0.15, 0.169]}, {'category': '1', 'conf': 0.173, 'bbox': [0.836, 0.577, 0.041, 0.159]}]"
110,477,95165454-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.03, 0.405, 0.97, 0.578]}, {'category': '1', 'conf': 0.931, 'bbox': [0.003, 0.647, 0.339, 0.334]}, {'category': '1', 'conf': 0.158, 'bbox': [0.019, 0.634, 0.625, 0.343]}]"
112,482,98a7623e-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.496, 0.765, 0.052, 0.142]}, {'category': '1', 'conf': 0.973, 'bbox': [0.596, 0.491, 0.027, 0.033]}, {'category': '1', 'conf': 0.197, 'bbox': [0.595, 0.481, 0.032, 0.048]}]"
113,492,8f192130-21bc-11ea-a13a-137349068a90.jpg,0.998,"[{'category': '1', 'conf': 0.998, 'bbox': [0.396, 0.735, 0.328, 0.248]}, {'category': '1', 'conf': 0.769, 'bbox': [0.16, 0.6, 0.048, 0.029]}, {'category': '1', 'conf': 0.107, 'bbox': [0.231, 0.6, 0.027, 0.019]}]"
114,495,8c0f62ba-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.485, 0.637, 0.172, 0.334]}]"
115,497,933c1c68-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.47, 0.566, 0.13, 0.355]}, {'category': '1', 'conf': 0.903, 'bbox': [0.923, 0.284, 0.076, 0.148]}, {'category': '1', 'conf': 0.184, 'bbox': [0.77, 0.815, 0.229, 0.168]}, {'category': '2', 'conf': 0.154, 'bbox': [0.79, 0.301, 0.21, 0.676]}]"
117,505,95e6076c-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.075, 0.39, 0.208, 0.465]}]"
118,520,8bd3964a-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.574, 0.023, 0.426, 0.742]}]"
119,522,8b3897c6-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.003, 0.015, 0.997, 0.971]}, {'category': '1', 'conf': 0.548, 'bbox': [0.019, 0.65, 0.485, 0.338]}, {'category': '1', 'conf': 0.286, 'bbox': [0.093, 0.495, 0.874, 0.472]}]"
120,524,88607848-21bc-11ea-a13a-137349068a90.jpg,0.961,"[{'category': '1', 'conf': 0.961, 'bbox': [0.648, 0.527, 0.133, 0.136]}, {'category': '1', 'conf': 0.157, 'bbox': [0.65, 0.524, 0.174, 0.175]}]"
121,528,88b28296-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.133, 0.453, 0.323, 0.534]}]"
122,529,8b88c4ee-21bc-11ea-a13a-137349068a90.jpg,0.998,"[{'category': '1', 'conf': 0.998, 'bbox': [0.001, 0.017, 0.993, 0.959]}]"
124,538,87d2285e-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.283, 0.014, 0.715, 0.964]}]"
125,543,88d959ca-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.545, 0.374, 0.453, 0.614]}, {'category': '1', 'conf': 0.977, 'bbox': [0.001, 0.73, 0.077, 0.244]}, {'category': '1', 'conf': 0.749, 'bbox': [0.508, 0.687, 0.089, 0.294]}, {'category': '1', 'conf': 0.109, 'bbox': [0.548, 0.684, 0.02, 0.037]}]"
130,574,88095338-21bc-11ea-a13a-137349068a90.jpg,0.984,"[{'category': '1', 'conf': 0.984, 'bbox': [0.675, 0.011, 0.324, 0.983]}, {'category': '1', 'conf': 0.71, 'bbox': [0.001, 0.367, 0.038, 0.396]}, {'category': '2', 'conf': 0.553, 'bbox': [0.68, 0, 0.319, 0.978]}, {'category': '2', 'conf': 0.307, 'bbox': [0.002, 0.353, 0.037, 0.402]}]"
132,582,8b56be54-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.313, 0.821, 0.095, 0.15]}]"
133,588,94be6df2-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.031, 0.015, 0.961, 0.962]}, {'category': '1', 'conf': 0.99, 'bbox': [0.005, 0.678, 0.254, 0.307]}, {'category': '1', 'conf': 0.305, 'bbox': [0.38, 0.54, 0.211, 0.436]}, {'category': '1', 'conf': 0.179, 'bbox': [0.294, 0.386, 0.693, 0.588]}, {'category': '1', 'conf': 0.121, 'bbox': [0.063, 0.907, 0.19, 0.079]}, {'category': '1', 'conf': 0.1, 'bbox': [0.006, 0.699, 0.151, 0.199]}]"
135,590,8baa749a-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.007, 0.013, 0.977, 0.978]}, {'category': '1', 'conf': 0.872, 'bbox': [0.839, 0.479, 0.157, 0.131]}, {'category': '1', 'conf': 0.724, 'bbox': [0.006, 0.556, 0.562, 0.438]}, {'category': '1', 'conf': 0.668, 'bbox': [0.001, 0.721, 0.493, 0.266]}, {'category': '1', 'conf': 0.571, 'bbox': [0.841, 0.478, 0.082, 0.124]}, {'category': '1', 'conf': 0.555, 'bbox': [0, 0.722, 0.165, 0.261]}, {'category': '1', 'conf': 0.474, 'bbox': [0.005, 0.73, 0.275, 0.251]}, {'category': '1', 'conf': 0.474, 'bbox': [0.136, 0.305, 0.864, 0.656]}, {'category': '1', 'conf': 0.22, 'bbox': [0.039, 0.905, 0.329, 0.08]}, {'category': '1', 'conf': 0.208, 'bbox': [0.853, 0.541, 0.143, 0.07]}, {'category': '1', 'conf': 0.153, 'bbox': [0.204, 0.526, 0.35, 0.47]}, {'category': '1', 'conf': 0.143, 'bbox': [0.001, 0.73, 0.11, 0.227]}]"
136,592,8f214bf8-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.166, 0.02, 0.759, 0.964]}, {'category': '1', 'conf': 0.893, 'bbox': [0.002, 0.88, 0.161, 0.105]}, {'category': '1', 'conf': 0.865, 'bbox': [0.176, 0.822, 0.204, 0.159]}, {'category': '1', 'conf': 0.133, 'bbox': [0.049, 0.826, 0.341, 0.157]}]"
137,593,889747ba-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.607, 0.342, 0.346, 0.386]}, {'category': '1', 'conf': 0.997, 'bbox': [0.335, 0.334, 0.27, 0.309]}, {'category': '1', 'conf': 0.989, 'bbox': [0.279, 0.379, 0.158, 0.202]}, {'category': '1', 'conf': 0.938, 'bbox': [0.16, 0.374, 0.155, 0.175]}, {'category': '1', 'conf': 0.362, 'bbox': [0.412, 0.382, 0.195, 0.254]}, {'category': '1', 'conf': 0.262, 'bbox': [0.334, 0.339, 0.175, 0.254]}, {'category': '1', 'conf': 0.184, 'bbox': [0.404, 0.333, 0.056, 0.077]}, {'category': '1', 'conf': 0.147, 'bbox': [0.318, 0.347, 0.144, 0.22]}, {'category': '1', 'conf': 0.144, 'bbox': [0.401, 0.344, 0.166, 0.257]}]"
139,601,8eede47a-21bc-11ea-a13a-137349068a90.jpg,0.993,"[{'category': '1', 'conf': 0.993, 'bbox': [0.039, 0.686, 0.961, 0.3]}, {'category': '1', 'conf': 0.974, 'bbox': [0.001, 0.517, 0.094, 0.215]}, {'category': '1', 'conf': 0.354, 'bbox': [0, 0.467, 1.0, 0.504]}, {'category': '1', 'conf': 0.266, 'bbox': [0.006, 0.912, 0.176, 0.073]}]"
140,602,868d892a-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.001, 0.263, 0.308, 0.437]}]"
141,607,988f0df6-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.444, 0.226, 0.549, 0.747]}, {'category': '1', 'conf': 0.135, 'bbox': [0.108, 0.508, 0.107, 0.049]}]"
146,625,86d74d6c-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.211, 0.007, 0.668, 0.993]}]"
147,627,931e8ad6-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.151, 0.763, 0.348, 0.222]}]"
148,628,9463f4f8-21bc-11ea-a13a-137349068a90.jpg,0.996,"[{'category': '1', 'conf': 0.996, 'bbox': [0.267, 0.02, 0.733, 0.969]}, {'category': '1', 'conf': 0.994, 'bbox': [0.448, 0.525, 0.541, 0.457]}, {'category': '1', 'conf': 0.994, 'bbox': [0.001, 0.646, 0.143, 0.344]}, {'category': '1', 'conf': 0.949, 'bbox': [0.137, 0.876, 0.277, 0.105]}, {'category': '1', 'conf': 0.316, 'bbox': [0.021, 0.848, 0.108, 0.135]}, {'category': '1', 'conf': 0.114, 'bbox': [0.004, 0.784, 0.114, 0.194]}]"
149,637,87828e34-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.254, 0.03, 0.728, 0.897]}]"
151,644,92b285f2-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.206, 0.38, 0.211, 0.414]}, {'category': '1', 'conf': 0.999, 'bbox': [0.405, 0.447, 0.102, 0.336]}, {'category': '1', 'conf': 0.998, 'bbox': [0.862, 0.41, 0.046, 0.15]}, {'category': '1', 'conf': 0.993, 'bbox': [0.898, 0.411, 0.029, 0.14]}]"
161,699,8b323534-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.002, 0.584, 0.205, 0.328]}, {'category': '1', 'conf': 0.232, 'bbox': [0.374, 0.579, 0.043, 0.03]}]"
162,700,86c280d0-21bc-11ea-a13a-137349068a90.jpg,0.998,"[{'category': '1', 'conf': 0.998, 'bbox': [0.0, 0.186, 0.164, 0.631]}, {'category': '1', 'conf': 0.995, 'bbox': [0.62, 0.1, 0.379, 0.868]}, {'category': '1', 'conf': 0.993, 'bbox': [0.371, 0.224, 0.053, 0.164]}, {'category': '1', 'conf': 0.976, 'bbox': [0.601, 0.272, 0.053, 0.193]}, {'category': '1', 'conf': 0.959, 'bbox': [0.528, 0.252, 0.046, 0.189]}, {'category': '1', 'conf': 0.935, 'bbox': [0.42, 0.266, 0.026, 0.09]}, {'category': '1', 'conf': 0.88, 'bbox': [0.224, 0.216, 0.032, 0.089]}, {'category': '1', 'conf': 0.878, 'bbox': [0.551, 0.272, 0.056, 0.159]}, {'category': '1', 'conf': 0.62, 'bbox': [0.535, 0.256, 0.065, 0.185]}, {'category': '1', 'conf': 0.249, 'bbox': [0.054, 0.179, 0.101, 0.174]}, {'category': '1', 'conf': 0.212, 'bbox': [0.203, 0.207, 0.052, 0.101]}, {'category': '1', 'conf': 0.191, 'bbox': [0.187, 0.192, 0.036, 0.039]}, {'category': '1', 'conf': 0.185, 'bbox': [0.45, 0.242, 0.017, 0.03]}, {'category': '1', 'conf': 0.158, 'bbox': [0.05, 0.193, 0.108, 0.466]}, {'category': '1', 'conf': 0.15, 'bbox': [0.383, 0.231, 0.048, 0.136]}, {'category': '1', 'conf': 0.12, 'bbox': [0.596, 0.269, 0.087, 0.196]}, {'category': '1', 'conf': 0.112, 'bbox': [0.397, 0.254, 0.05, 0.103]}, {'category': '1', 'conf': 0.101, 'bbox': [0.448, 0.239, 0.02, 0.044]}]"
163,711,909c4758-21bc-11ea-a13a-137349068a90.jpg,0.98,"[{'category': '1', 'conf': 0.98, 'bbox': [0.002, 0.902, 0.106, 0.085]}]"
