,file,max_detection_conf,detections
72,914da638-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.003, 0.401, 0.824, 0.578]}]"
74,8da61718-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.176, 0.356, 0.234, 0.44]}, {'category': '1', 'conf': 0.77, 'bbox': [0.119, 0.474, 0.055, 0.209]}, {'category': '1', 'conf': 0.484, 'bbox': [0.109, 0.469, 0.089, 0.22]}]"
80,8a4e0936-21bc-11ea-a13a-137349068a90.jpg,0.992,"[{'category': '1', 'conf': 0.992, 'bbox': [0.032, 0.566, 0.841, 0.419]}, {'category': '1', 'conf': 0.88, 'bbox': [0.0, 0.546, 0.156, 0.444]}, {'category': '1', 'conf': 0.864, 'bbox': [0.098, 0.741, 0.789, 0.242]}, {'category': '1', 'conf': 0.648, 'bbox': [0.075, 0.883, 0.189, 0.101]}, {'category': '1', 'conf': 0.24, 'bbox': [0, 0.547, 0.263, 0.437]}]"
84,8ea9d1b8-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
95,8daf8dfc-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.515, 0.439, 0.481, 0.549]}, {'category': '1', 'conf': 0.994, 'bbox': [0.005, 0.692, 0.486, 0.291]}, {'category': '1', 'conf': 0.987, 'bbox': [0.0, 0.207, 0.128, 0.702]}, {'category': '1', 'conf': 0.473, 'bbox': [0.007, 0.202, 0.418, 0.754]}]"
97,8c5e8f20-21bc-11ea-a13a-137349068a90.jpg,0.231,"[{'category': '1', 'conf': 0.231, 'bbox': [0.436, 0.432, 0.061, 0.061]}]"
98,8d932518-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
100,953efabc-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
105,88c1d4e4-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.044, 0.019, 0.956, 0.952]}]"
106,869d53e6-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
107,9349cd7c-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
109,88a530b4-21bc-11ea-a13a-137349068a90.jpg,0.234,"[{'category': '1', 'conf': 0.234, 'bbox': [0.746, 0.501, 0.04, 0.035]}]"
111,8ec3041c-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
115,90046208-21bc-11ea-a13a-137349068a90.jpg,0.243,"[{'category': '1', 'conf': 0.243, 'bbox': [0.598, 0.384, 0.057, 0.134]}]"
126,975b4ec2-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.0, 0.54, 0.265, 0.426]}]"
131,8baf830e-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
137,95f4ee3a-21bc-11ea-a13a-137349068a90.jpg,0.404,"[{'category': '1', 'conf': 0.404, 'bbox': [0.596, 0.38, 0.069, 0.119]}, {'category': '1', 'conf': 0.1, 'bbox': [0.631, 0.402, 0.045, 0.094]}]"
143,952f39ba-21bc-11ea-a13a-137349068a90.jpg,0.904,"[{'category': '1', 'conf': 0.904, 'bbox': [0.594, 0.373, 0.07, 0.124]}]"
150,86761d58-21bc-11ea-a13a-137349068a90.jpg,0.997,"[{'category': '1', 'conf': 0.997, 'bbox': [0.134, 0.922, 0.034, 0.069]}, {'category': '1', 'conf': 0.962, 'bbox': [0.003, 0.899, 0.117, 0.087]}]"
152,9124c15a-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
155,8d2b5bd6-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.229, 0.36, 0.129, 0.374]}]"
158,98549be4-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0, 0.073, 0.623, 0.777]}]"
167,87166d8a-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.027, 0.01, 0.973, 0.978]}, {'category': '1', 'conf': 0.276, 'bbox': [0.707, 0.034, 0.29, 0.948]}, {'category': '1', 'conf': 0.228, 'bbox': [0.517, 0.025, 0.479, 0.925]}]"
174,8bb30d3a-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
185,91c2116c-21bc-11ea-a13a-137349068a90.jpg,0.105,"[{'category': '1', 'conf': 0.105, 'bbox': [0.009, 0.821, 0.048, 0.027]}]"
190,95b392dc-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
192,8c947aea-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
194,990ed860-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
195,9683efae-21bc-11ea-a13a-137349068a90.jpg,0.258,"[{'category': '1', 'conf': 0.258, 'bbox': [0.972, 0.436, 0.013, 0.033]}]"
196,955c2862-21bc-11ea-a13a-137349068a90.jpg,-0.994,"[{'category': '1', 'conf': -0.994, 'bbox': [0.752, 0.834, 0.247, 0.144]}]"
197,86aca5bc-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
201,8721a7c2-21bc-11ea-a13a-137349068a90.jpg,0.447,"[{'category': '1', 'conf': 0.447, 'bbox': [0.412, 0.464, 0.163, 0.13]}, {'category': '1', 'conf': 0.443, 'bbox': [0.414, 0.469, 0.11, 0.097]}, {'category': '1', 'conf': 0.38, 'bbox': [0.41, 0.484, 0.058, 0.087]}, {'category': '1', 'conf': 0.22, 'bbox': [0.418, 0.489, 0.044, 0.066]}, {'category': '1', 'conf': 0.202, 'bbox': [0.383, 0.475, 0.082, 0.104]}, {'category': '1', 'conf': 0.199, 'bbox': [0.406, 0.483, 0.092, 0.098]}, {'category': '1', 'conf': 0.184, 'bbox': [0.391, 0.415, 0.178, 0.165]}, {'category': '1', 'conf': 0.177, 'bbox': [0.346, 0.443, 0.191, 0.14]}, {'category': '1', 'conf': 0.146, 'bbox': [0.289, 0.39, 0.234, 0.18]}, {'category': '1', 'conf': 0.127, 'bbox': [0.292, 0.44, 0.182, 0.142]}, {'category': '1', 'conf': 0.114, 'bbox': [0.412, 0.416, 0.131, 0.132]}]"
206,93e8e6be-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
210,942a8060-21bc-11ea-a13a-137349068a90.jpg,0.109,"[{'category': '1', 'conf': 0.109, 'bbox': [0.44, 0.439, 0.071, 0.056]}, {'category': '1', 'conf': 0.106, 'bbox': [0.494, 0.455, 0.02, 0.033]}]"
225,8cb57038-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.218, 0.022, 0.782, 0.966]}, {'category': '1', 'conf': 0.99, 'bbox': [0.426, 0.487, 0.552, 0.497]}, {'category': '1', 'conf': 0.947, 'bbox': [0.002, 0.643, 0.401, 0.341]}, {'category': '1', 'conf': 0.856, 'bbox': [0.003, 0.644, 0.128, 0.338]}, {'category': '1', 'conf': 0.81, 'bbox': [0.117, 0.876, 0.279, 0.108]}]"
229,893fce1c-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
230,956203c2-21bc-11ea-a13a-137349068a90.jpg,0.274,"[{'category': '1', 'conf': 0.274, 'bbox': [0.167, 0.543, 0.103, 0.042]}]"
236,89154caa-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
240,86d854e6-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.137, 0.397, 0.179, 0.231]}]"
241,91c0976a-21bc-11ea-a13a-137349068a90.jpg,0.33,"[{'category': '1', 'conf': 0.33, 'bbox': [0.594, 0.392, 0.081, 0.116]}, {'category': '1', 'conf': 0.166, 'bbox': [0.62, 0.402, 0.055, 0.092]}]"
243,947c5dfe-21bc-11ea-a13a-137349068a90.jpg,0.998,"[{'category': '1', 'conf': 0.998, 'bbox': [0.049, 0.451, 0.949, 0.539]}, {'category': '1', 'conf': 0.97, 'bbox': [0.003, 0.661, 0.351, 0.326]}, {'category': '1', 'conf': 0.495, 'bbox': [0.063, 0.633, 0.8, 0.345]}, {'category': '1', 'conf': 0.182, 'bbox': [0.388, 0.577, 0.049, 0.034]}]"
245,88032008-21bc-11ea-a13a-137349068a90.jpg,0.441,"[{'category': '1', 'conf': 0.441, 'bbox': [0.107, 0.503, 0.059, 0.135]}, {'category': '1', 'conf': 0.296, 'bbox': [0.105, 0.437, 0.024, 0.052]}]"
249,91228188-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.378, 0.444, 0.159, 0.163]}]"
251,91f43ebc-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.479, 0.395, 0.372, 0.473]}]"
268,8cb9aa2c-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
269,8ff4df04-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
273,9655e5e6-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.122, 0.821, 0.294, 0.162]}]"
281,98e579e8-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
282,8d3910f0-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
286,9830fcc0-21bc-11ea-a13a-137349068a90.jpg,0.998,"[{'category': '1', 'conf': 0.998, 'bbox': [0.266, 0.015, 0.734, 0.973]}, {'category': '1', 'conf': 0.994, 'bbox': [0.001, 0.632, 0.151, 0.358]}, {'category': '1', 'conf': 0.994, 'bbox': [0.452, 0.501, 0.535, 0.484]}, {'category': '1', 'conf': 0.973, 'bbox': [0.338, 0.327, 0.634, 0.635]}, {'category': '1', 'conf': 0.958, 'bbox': [0.134, 0.877, 0.279, 0.105]}, {'category': '1', 'conf': 0.411, 'bbox': [0.013, 0.84, 0.122, 0.14]}, {'category': '1', 'conf': 0.151, 'bbox': [0.005, 0.779, 0.115, 0.196]}]"
287,92803b60-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.37, 0.795, 0.272, 0.19]}]"
292,87c22288-21bc-11ea-a13a-137349068a90.jpg,0.212,"[{'category': '1', 'conf': 0.212, 'bbox': [0.592, 0.378, 0.066, 0.124]}]"
293,9711a966-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.21, 0.411, 0.366, 0.521]}, {'category': '1', 'conf': 0.999, 'bbox': [0.739, 0.252, 0.221, 0.299]}]"
294,9135b802-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.098, 0.536, 0.371, 0.436]}]"
295,91371760-21bc-11ea-a13a-137349068a90.jpg,0.997,"[{'category': '1', 'conf': 0.997, 'bbox': [0.141, 0.695, 0.376, 0.289]}, {'category': '1', 'conf': 0.992, 'bbox': [0.462, 0.745, 0.154, 0.216]}, {'category': '1', 'conf': 0.193, 'bbox': [0.128, 0.601, 0.049, 0.032]}]"
297,8e941e04-21bc-11ea-a13a-137349068a90.jpg,0.984,"[{'category': '1', 'conf': 0.984, 'bbox': [0.701, 0.213, 0.186, 0.224]}, {'category': '1', 'conf': 0.972, 'bbox': [0.044, 0.011, 0.302, 0.967]}, {'category': '1', 'conf': 0.605, 'bbox': [0.039, 0.028, 0.897, 0.943]}, {'category': '1', 'conf': 0.189, 'bbox': [0.341, 0.287, 0.148, 0.179]}]"
304,90f803f4-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.012, 0.014, 0.981, 0.969]}, {'category': '1', 'conf': 0.813, 'bbox': [0.152, 0.837, 0.407, 0.148]}, {'category': '1', 'conf': 0.785, 'bbox': [0.001, 0.797, 0.164, 0.187]}, {'category': '1', 'conf': 0.677, 'bbox': [0.005, 0.875, 0.16, 0.114]}, {'category': '1', 'conf': 0.584, 'bbox': [0.187, 0.512, 0.402, 0.47]}, {'category': '1', 'conf': 0.553, 'bbox': [0, 0.79, 0.067, 0.101]}, {'category': '1', 'conf': 0.546, 'bbox': [0.148, 0.308, 0.825, 0.678]}, {'category': '1', 'conf': 0.208, 'bbox': [0.313, 0.521, 0.303, 0.434]}, {'category': '1', 'conf': 0.165, 'bbox': [0.002, 0.792, 0.076, 0.174]}, {'category': '1', 'conf': 0.16, 'bbox': [0.002, 0.872, 0.093, 0.114]}, {'category': '1', 'conf': 0.125, 'bbox': [0.038, 0.437, 0.769, 0.546]}]"
307,989aa0a8-21bc-11ea-a13a-137349068a90.jpg,0.163,"[{'category': '1', 'conf': 0.163, 'bbox': [0.145, 0.624, 0.117, 0.091]}, {'category': '1', 'conf': 0.124, 'bbox': [0.136, 0.601, 0.147, 0.123]}]"
310,95f203a0-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
316,919ed620-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0, 0.014, 0.612, 0.835]}, {'category': '1', 'conf': 0.95, 'bbox': [0.001, 0.62, 0.08, 0.233]}]"
321,8ad05c6a-21bc-11ea-a13a-137349068a90.jpg,0.995,"[{'category': '1', 'conf': 0.995, 'bbox': [0.42, 0.806, 0.091, 0.138]}, {'category': '1', 'conf': 0.995, 'bbox': [0.539, 0.794, 0.088, 0.168]}, {'category': '1', 'conf': 0.988, 'bbox': [0.807, 0.82, 0.192, 0.163]}, {'category': '1', 'conf': 0.98, 'bbox': [0.864, 0.693, 0.136, 0.171]}, {'category': '1', 'conf': 0.891, 'bbox': [0, 0.888, 0.048, 0.102]}, {'category': '1', 'conf': 0.134, 'bbox': [0.532, 0.797, 0.066, 0.147]}, {'category': '1', 'conf': 0.123, 'bbox': [0.529, 0.803, 0.045, 0.137]}, {'category': '1', 'conf': 0.108, 'bbox': [0.422, 0.81, 0.051, 0.134]}]"
325,8f0f2f4a-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
327,8c9ab004-21bc-11ea-a13a-137349068a90.jpg,0.318,"[{'category': '1', 'conf': 0.318, 'bbox': [0.64, 0.477, 0.027, 0.032]}]"
335,94992b28-21bc-11ea-a13a-137349068a90.jpg,0.68,"[{'category': '1', 'conf': 0.68, 'bbox': [0.187, 0.663, 0.077, 0.073]}, {'category': '1', 'conf': 0.274, 'bbox': [0.19, 0.603, 0.091, 0.127]}, {'category': '1', 'conf': 0.193, 'bbox': [0.185, 0.567, 0.116, 0.169]}]"
337,98b490f8-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
346,93d2550c-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
368,969c9a68-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
376,89ea43a6-21bc-11ea-a13a-137349068a90.jpg,0.987,"[{'category': '1', 'conf': 0.987, 'bbox': [0.832, 0.637, 0.168, 0.109]}, {'category': '1', 'conf': 0.138, 'bbox': [0.29, 0.413, 0.037, 0.039]}]"
381,8752f020-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.296, 0.017, 0.704, 0.958]}, {'category': '1', 'conf': 0.999, 'bbox': [0.002, 0.264, 0.29, 0.491]}]"
382,9423fbf0-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
383,86e78038-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
394,8b6a1fb2-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
399,8da0204c-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.232, 0.059, 0.766, 0.931]}, {'category': '1', 'conf': 0.969, 'bbox': [0.001, 0.752, 0.191, 0.233]}, {'category': '1', 'conf': 0.699, 'bbox': [0.027, 0.929, 0.171, 0.056]}, {'category': '1', 'conf': 0.16, 'bbox': [0.001, 0.754, 0.079, 0.222]}]"
407,8d146020-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
412,98354460-21bc-11ea-a13a-137349068a90.jpg,0.995,"[{'category': '1', 'conf': 0.995, 'bbox': [0.792, 0.888, 0.086, 0.083]}, {'category': '1', 'conf': 0.801, 'bbox': [0.647, 0.523, 0.06, 0.051]}]"
416,8fa759fa-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
424,8be70b26-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
426,95b931c4-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
427,8b3d9712-21bc-11ea-a13a-137349068a90.jpg,0.983,"[{'category': '1', 'conf': 0.983, 'bbox': [0.001, 0.905, 0.101, 0.081]}]"
433,95542dce-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0, 0.303, 0.257, 0.339]}, {'category': '1', 'conf': 0.998, 'bbox': [0.868, 0.323, 0.131, 0.377]}, {'category': '1', 'conf': 0.995, 'bbox': [0.557, 0.416, 0.092, 0.168]}, {'category': '1', 'conf': 0.981, 'bbox': [0.507, 0.414, 0.084, 0.165]}, {'category': '1', 'conf': 0.979, 'bbox': [0.698, 0.407, 0.143, 0.202]}, {'category': '1', 'conf': 0.953, 'bbox': [0.792, 0.371, 0.195, 0.29]}, {'category': '1', 'conf': 0.434, 'bbox': [0.715, 0.427, 0.089, 0.168]}, {'category': '1', 'conf': 0.344, 'bbox': [0.726, 0.403, 0.156, 0.212]}, {'category': '1', 'conf': 0.13, 'bbox': [0.904, 0.326, 0.094, 0.301]}, {'category': '1', 'conf': 0.112, 'bbox': [0.933, 0.318, 0.067, 0.118]}]"
435,97651e2a-21bc-11ea-a13a-137349068a90.jpg,0.996,"[{'category': '1', 'conf': 0.996, 'bbox': [0.006, 0.038, 0.967, 0.951]}, {'category': '1', 'conf': 0.994, 'bbox': [0.085, 0.505, 0.909, 0.483]}, {'category': '1', 'conf': 0.429, 'bbox': [0.333, 0.571, 0.227, 0.243]}, {'category': '1', 'conf': 0.313, 'bbox': [0, 0.014, 0.605, 0.986]}, {'category': '1', 'conf': 0.214, 'bbox': [0, 0.028, 0.376, 0.972]}]"
438,9799db1a-21bc-11ea-a13a-137349068a90.jpg,0.992,"[{'category': '1', 'conf': 0.992, 'bbox': [0.474, 0.56, 0.411, 0.425]}, {'category': '1', 'conf': 0.981, 'bbox': [0.05, 0.708, 0.441, 0.276]}, {'category': '1', 'conf': 0.961, 'bbox': [0, 0.266, 0.154, 0.711]}, {'category': '1', 'conf': 0.72, 'bbox': [0.003, 0.633, 0.152, 0.34]}, {'category': '1', 'conf': 0.663, 'bbox': [0.521, 0.804, 0.229, 0.18]}, {'category': '1', 'conf': 0.601, 'bbox': [0.466, 0.729, 0.384, 0.244]}, {'category': '1', 'conf': 0.235, 'bbox': [0.36, 0.634, 0.46, 0.332]}, {'category': '1', 'conf': 0.145, 'bbox': [0.002, 0.244, 0.087, 0.734]}, {'category': '1', 'conf': 0.144, 'bbox': [0.12, 0.567, 0.636, 0.398]}, {'category': '1', 'conf': 0.122, 'bbox': [0.0, 0.265, 0.067, 0.508]}]"
442,9252c806-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.243, 0.368, 0.069, 0.209]}]"
454,9352ab86-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
455,978dd9e6-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.269, 0.022, 0.465, 0.844]}]"
457,941c9ba8-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.045, 0.428, 0.181, 0.279]}, {'category': '1', 'conf': 0.969, 'bbox': [0, 0.413, 0.064, 0.152]}]"
460,870f4d0c-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
467,86e1bcf2-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
468,94f49896-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.201, 0.327, 0.488, 0.664]}, {'category': '1', 'conf': 0.997, 'bbox': [0.001, 0.61, 0.245, 0.372]}, {'category': '1', 'conf': 0.994, 'bbox': [0.739, 0.348, 0.258, 0.534]}, {'category': '1', 'conf': 0.899, 'bbox': [0.734, 0.485, 0.152, 0.285]}, {'category': '1', 'conf': 0.843, 'bbox': [0.729, 0.602, 0.058, 0.159]}, {'category': '1', 'conf': 0.27, 'bbox': [0.73, 0.589, 0.15, 0.169]}, {'category': '1', 'conf': 0.173, 'bbox': [0.836, 0.577, 0.041, 0.159]}]"
469,91ba73b2-21bc-11ea-a13a-137349068a90.jpg,0.105,"[{'category': '1', 'conf': 0.105, 'bbox': [0.085, 0.386, 0.109, 0.092]}]"
472,8aab55fa-21bc-11ea-a13a-137349068a90.jpg,0.8,"[{'category': '1', 'conf': 0.8, 'bbox': [0.923, 0.573, 0.075, 0.113]}]"
475,92839bf2-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
477,95165454-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.03, 0.405, 0.97, 0.578]}, {'category': '1', 'conf': 0.931, 'bbox': [0.003, 0.647, 0.339, 0.334]}, {'category': '1', 'conf': 0.158, 'bbox': [0.019, 0.634, 0.625, 0.343]}]"
479,94f89446-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
482,98a7623e-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.496, 0.765, 0.052, 0.142]}, {'category': '1', 'conf': 0.973, 'bbox': [0.596, 0.491, 0.027, 0.033]}, {'category': '1', 'conf': 0.197, 'bbox': [0.595, 0.481, 0.032, 0.048]}]"
492,8f192130-21bc-11ea-a13a-137349068a90.jpg,0.998,"[{'category': '1', 'conf': 0.998, 'bbox': [0.396, 0.735, 0.328, 0.248]}, {'category': '1', 'conf': 0.769, 'bbox': [0.16, 0.6, 0.048, 0.029]}, {'category': '1', 'conf': 0.107, 'bbox': [0.231, 0.6, 0.027, 0.019]}]"
495,8c0f62ba-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.485, 0.637, 0.172, 0.334]}]"
497,933c1c68-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.47, 0.566, 0.13, 0.355]}, {'category': '1', 'conf': 0.903, 'bbox': [0.923, 0.284, 0.076, 0.148]}, {'category': '1', 'conf': 0.184, 'bbox': [0.77, 0.815, 0.229, 0.168]}, {'category': '2', 'conf': 0.154, 'bbox': [0.79, 0.301, 0.21, 0.676]}]"
501,97bf6074-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
505,95e6076c-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.075, 0.39, 0.208, 0.465]}]"
520,8bd3964a-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.574, 0.023, 0.426, 0.742]}]"
522,8b3897c6-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.003, 0.015, 0.997, 0.971]}, {'category': '1', 'conf': 0.548, 'bbox': [0.019, 0.65, 0.485, 0.338]}, {'category': '1', 'conf': 0.286, 'bbox': [0.093, 0.495, 0.874, 0.472]}]"
524,88607848-21bc-11ea-a13a-137349068a90.jpg,0.961,"[{'category': '1', 'conf': 0.961, 'bbox': [0.648, 0.527, 0.133, 0.136]}, {'category': '1', 'conf': 0.157, 'bbox': [0.65, 0.524, 0.174, 0.175]}]"
528,88b28296-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.133, 0.453, 0.323, 0.534]}]"
529,8b88c4ee-21bc-11ea-a13a-137349068a90.jpg,0.998,"[{'category': '1', 'conf': 0.998, 'bbox': [0.001, 0.017, 0.993, 0.959]}]"
534,97c7b9fe-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
538,87d2285e-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.283, 0.014, 0.715, 0.964]}]"
543,88d959ca-21bc-11ea-a13a-137349068a90.jpg,0.999,"[{'category': '1', 'conf': 0.999, 'bbox': [0.545, 0.374, 0.453, 0.614]}, {'category': '1', 'conf': 0.977, 'bbox': [0.001, 0.73, 0.077, 0.244]}, {'category': '1', 'conf': 0.749, 'bbox': [0.508, 0.687, 0.089, 0.294]}, {'category': '1', 'conf': 0.109, 'bbox': [0.548, 0.684, 0.02, 0.037]}]"
548,8c352e14-21bc-11ea-a13a-137349068a90.jpg,0.0,[]
